audio_file,language,filter_method,sensitive_words_count,audio_duration,total_time,real_time_factor,memory_used,segments_count,filtered_words_count,success,test_case,word_set,length_category
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,replace,10,319.54,43.23825526237488,0.13531406165855567,-9.65234375,153,41,True,word_set_size,medium,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,regular_expression,10,319.54,42.99904942512512,0.1345654673127781,25.91796875,153,41,True,word_set_size,medium,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,DFA,50,319.54,43.23342204093933,0.1352989360985771,-7.0546875,153,45,True,word_set_size,large,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,aho_corasick,50,319.54,42.91947865486145,0.1343164506943151,-8.5625,153,45,True,word_set_size,large,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,trie_tree,50,319.54,43.02515244483948,0.13464715667784777,6.04296875,153,45,True,word_set_size,large,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,replace,50,319.54,42.857433795928955,0.13412228139177865,-11.46875,153,45,True,word_set_size,large,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,regular_expression,50,319.54,43.132309913635254,0.134982505832244,-4.60546875,153,45,True,word_set_size,large,
【课外侦探组1】第3章，难道汽车会隐形？（下）_1.mp3,zh,DFA,10,197.28,26.892077922821045,0.13631426359905233,-13.79296875,91,21,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（下）_1.mp3,zh,aho_corasick,10,197.28,24.705969095230103,0.12523301447298307,-3.30078125,91,21,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（下）_1.mp3,zh,trie_tree,10,197.28,24.21197009086609,0.12272896436975916,0.03515625,91,21,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（下）_1.mp3,zh,replace,10,197.28,24.25350570678711,0.12293950581299225,0.359375,91,21,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（下）_1.mp3,zh,regular_expression,10,197.28,24.37733006477356,0.12356716375087977,1.046875,91,21,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（下）_2.mp3,zh,DFA,10,202.8,28.496239185333252,0.14051399992767874,41.125,96,28,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（下）_2.mp3,zh,aho_corasick,10,202.8,28.287621021270752,0.13948531075577292,0.6015625,96,28,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（下）_2.mp3,zh,trie_tree,10,202.8,28.211174726486206,0.13910835663947832,-11.515625,96,28,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（下）_2.mp3,zh,replace,10,202.8,28.461026430130005,0.14034036701247535,-10.36328125,96,28,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（下）_2.mp3,zh,regular_expression,10,202.8,28.54764199256897,0.14076746544659255,11.99609375,96,28,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（上）_2.mp3,zh,DFA,10,215.02,29.077012300491333,0.13522933820338262,-13.96875,117,20,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（上）_2.mp3,zh,aho_corasick,10,215.02,29.089000701904297,0.13528509302345965,8.70703125,117,20,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（上）_2.mp3,zh,trie_tree,10,215.02,29.22205877304077,0.1359039102085423,1.125,117,20,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（上）_2.mp3,zh,replace,10,215.02,29.21419596672058,0.13586734241801032,3.28125,117,20,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（上）_2.mp3,zh,regular_expression,10,215.02,29.17188596725464,0.13567057002722835,7.3828125,117,20,True,audio_length,medium,short
【课外侦探组1】第3章，难道汽车会隐形？（上）_1.mp3,zh,DFA,10,217.0,24.94497799873352,0.11495381566236645,-7.125,81,14,True,audio_length,medium,medium
【课外侦探组1】第3章，难道汽车会隐形？（上）_1.mp3,zh,aho_corasick,10,217.0,26.250526428222656,0.12097016787199381,-0.890625,81,14,True,audio_length,medium,medium
【课外侦探组1】第3章，难道汽车会隐形？（上）_1.mp3,zh,trie_tree,10,217.0,25.094261169433594,0.11564175654116864,-3.27734375,81,14,True,audio_length,medium,medium
【课外侦探组1】第3章，难道汽车会隐形？（上）_1.mp3,zh,replace,10,217.0,25.19232416152954,0.11609365973055089,-23.1640625,81,14,True,audio_length,medium,medium
【课外侦探组1】第3章，难道汽车会隐形？（上）_1.mp3,zh,regular_expression,10,217.0,25.254920721054077,0.11638212313849805,15.1640625,81,14,True,audio_length,medium,medium
【课外侦探组1】第5章，被删除邮件的秘密_1.mp3,zh,DFA,10,322.18,40.34549403190613,0.1252265628900184,-19.734375,154,49,True,audio_length,medium,medium
【课外侦探组1】第5章，被删除邮件的秘密_1.mp3,zh,aho_corasick,10,322.18,40.2600781917572,0.12496144450852692,33.3671875,154,49,True,audio_length,medium,medium
【课外侦探组1】第5章，被删除邮件的秘密_1.mp3,zh,trie_tree,10,322.18,40.08526921272278,0.12441886278702209,-6.8203125,154,49,True,audio_length,medium,medium
【课外侦探组1】第5章，被删除邮件的秘密_1.mp3,zh,replace,10,322.18,40.40934491157532,0.1254247467613611,17.15234375,154,49,True,audio_length,medium,medium
【课外侦探组1】第5章，被删除邮件的秘密_1.mp3,zh,regular_expression,10,322.18,40.59704518318176,0.126007341185616,-2.50390625,154,49,True,audio_length,medium,medium
【课外侦探组1】第2章，被人盯梢的小侦探_2.mp3,zh,DFA,10,326.8,42.34485697746277,0.12957422575723002,-10.484375,155,39,True,audio_length,medium,medium
【课外侦探组1】第2章，被人盯梢的小侦探_2.mp3,zh,aho_corasick,10,326.8,42.10218286514282,0.12883164891414572,5.48046875,155,39,True,audio_length,medium,medium
【课外侦探组1】第2章，被人盯梢的小侦探_2.mp3,zh,trie_tree,10,326.8,42.12482738494873,0.1289009405904184,-2.40234375,155,39,True,audio_length,medium,medium
【课外侦探组1】第2章，被人盯梢的小侦探_2.mp3,zh,replace,10,326.8,42.010801553726196,0.12855202433820745,0.64453125,155,39,True,audio_length,medium,medium
【课外侦探组1】第2章，被人盯梢的小侦探_2.mp3,zh,regular_expression,10,326.8,44.5258047580719,0.1362478725767194,2.24609375,155,39,True,audio_length,medium,medium
